signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20220324_163000_416,2022-03-24 16:30:00,AAPL,BUY,ENTRY,MARKET,100,174.07,,,"EMA crossover: Fast(165.02) > Slow(164.53), RSI=62.7","{""ema_12"": 165.02100274569221, ""ema_26"": 164.53184950169887, ""rsi_14"": 62.701321447468196}","{""open"": 171.06, ""high"": 174.14, ""low"": 170.21, ""close"": 174.07, ""volume"": 90131418.0}",{},,
SIG_20220408_163000_417,2022-04-08 16:30:00,AAPL,SELL,EXIT,MARKET,100,170.09,,,Stop loss triggered,"{""ema_12"": 172.4481588051695, ""ema_26"": 170.17787414455287, ""rsi_14"": 50.02667324708754}","{""open"": 171.78, ""high"": 171.78, ""low"": 169.2, ""close"": 170.09, ""volume"": 76575508.0}",{},,
SIG_20220411_163000_418,2022-04-11 16:30:00,AAPL,BUY,ENTRY,MARKET,100,165.75,,,"EMA crossover: Fast(171.42) > Slow(169.85), RSI=44.0","{""ema_12"": 171.41767283514343, ""ema_26"": 169.84988346717859, ""rsi_14"": 44.02232863247066}","{""open"": 168.71, ""high"": 169.03, ""low"": 165.5, ""close"": 165.75, ""volume"": 72246706.0}",{},,
SIG_20220419_163000_419,2022-04-19 16:30:00,AAPL,SELL,EXIT,MARKET,100,167.4,,,Exit condition met,"{""ema_12"": 168.9070807900302, ""ema_26"": 168.96410597923352, ""rsi_14"": 47.67580795513327}","{""open"": 165.02, ""high"": 167.82, ""low"": 163.91, ""close"": 167.4, ""volume"": 67723833.0}",{},,
SIG_20220711_163000_420,2022-07-11 16:30:00,AAPL,BUY,ENTRY,MARKET,100,144.87,,,"EMA crossover: Fast(142.04) > Slow(141.97), RSI=54.2","{""ema_12"": 142.04015292965533, ""ema_26"": 141.97473736960433, ""rsi_14"": 54.16058464914821}","{""open"": 145.67, ""high"": 146.64, ""low"": 143.78, ""close"": 144.87, ""volume"": 63305113.0}",{},,
SIG_20220720_163000_421,2022-07-20 16:30:00,AAPL,SELL,EXIT,MARKET,100,153.04,,,Take profit triggered,"{""ema_12"": 147.16357438959625, ""ema_26"": 144.93111015161307, ""rsi_14"": 62.77133874231593}","{""open"": 151.12, ""high"": 153.72, ""low"": 150.37, ""close"": 153.04, ""volume"": 64823413.0}",{},,
SIG_20220721_163000_422,2022-07-21 16:30:00,AAPL,BUY,ENTRY,MARKET,100,155.35,,,"EMA crossover: Fast(148.42) > Slow(145.70), RSI=65.3","{""ema_12"": 148.42302448350452, ""ema_26"": 145.7028797700121, ""rsi_14"": 65.2897729676204}","{""open"": 154.5, ""high"": 155.57, ""low"": 151.94, ""close"": 155.35, ""volume"": 65086636.0}",{},,
SIG_20220726_163000_423,2022-07-26 16:30:00,AAPL,SELL,EXIT,MARKET,100,151.6,,,Stop loss triggered,"{""ema_12"": 150.1253188837253, ""ema_26"": 147.16939980726713, ""rsi_14"": 57.88958305322773}","{""open"": 152.265, ""high"": 153.085, ""low"": 150.8, ""close"": 151.6, ""volume"": 55138691.0}",{},,
SIG_20220727_163000_424,2022-07-27 16:30:00,AAPL,BUY,ENTRY,MARKET,100,156.79,,,"EMA crossover: Fast(151.15) > Slow(147.88), RSI=64.4","{""ema_12"": 151.15065444007524, ""ema_26"": 147.88203685858068, ""rsi_14"": 64.35127903048145}","{""open"": 152.58, ""high"": 157.33, ""low"": 152.16, ""close"": 156.79, ""volume"": 78620688.0}",{},,
SIG_20220803_163000_425,2022-08-03 16:30:00,AAPL,SELL,EXIT,MARKET,100,166.13,,,Take profit triggered,"{""ema_12"": 157.297188442089, ""ema_26"": 152.30668314019158, ""rsi_14"": 70.83470122877675}","{""open"": 160.84, ""high"": 166.59, ""low"": 160.75, ""close"": 166.13, ""volume"": 82507488.0}",{},,
