signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20201008_163000_86,2020-10-08 16:30:00,AAPL,BUY,ENTRY,MARKET,100,114.97,,,"EMA crossover detected (Fast: 114.23 > Slow: 114.22), RSI: 51.21","{""ema_fast"": 114.23423442833828, ""ema_slow"": 114.22195698135977, ""rsi"": 51.20689251650058}","{""open"": 116.25, ""high"": 116.4, ""low"": 114.5901, ""close"": 114.97, ""volume"": 83477153.0}",{},,
SIG_20201028_163000_87,2020-10-28 16:30:00,AAPL,SELL,EXIT,MARKET,100,111.2,,,EMA crossover detected (Fast: 115.85 < Slow: 115.97),"{""ema_fast"": 115.84731452806076, ""ema_slow"": 115.97232895439807, ""rsi"": 41.60490156200388}","{""open"": 115.05, ""high"": 115.43, ""low"": 111.1, ""close"": 111.2, ""volume"": 143937823.0}",{},,
SIG_20201110_173000_88,2020-11-10 17:30:00,AAPL,BUY,ENTRY,MARKET,100,115.97,,,"EMA crossover detected (Fast: 115.35 > Slow: 115.34), RSI: 51.05","{""ema_fast"": 115.3510919975356, ""ema_slow"": 115.34411276033354, ""rsi"": 51.05315287650256}","{""open"": 115.55, ""high"": 117.59, ""low"": 114.13, ""close"": 115.97, ""volume"": 138023390.0}",{},,
SIG_20210219_173000_89,2021-02-19 17:30:00,AAPL,SELL,EXIT,MARKET,100,129.87,,,EMA crossover detected (Fast: 133.24 < Slow: 133.39),"{""ema_fast"": 133.2359831118921, ""ema_slow"": 133.3904665962809, ""rsi"": 41.791936895931734}","{""open"": 130.24, ""high"": 130.71, ""low"": 128.8, ""close"": 129.87, ""volume"": 87668834.0}",{},,
SIG_20210408_163000_90,2021-04-08 16:30:00,AAPL,BUY,ENTRY,MARKET,100,130.36,,,"EMA crossover detected (Fast: 124.78 > Slow: 124.33), RSI: 62.94","{""ema_fast"": 124.77952501474397, ""ema_slow"": 124.33229496367149, ""rsi"": 62.94026565378338}","{""open"": 128.95, ""high"": 130.39, ""low"": 128.52, ""close"": 130.36, ""volume"": 88844591.0}",{},,
SIG_20210511_163000_91,2021-05-11 16:30:00,AAPL,SELL,EXIT,MARKET,100,125.91,,,EMA crossover detected (Fast: 129.67 < Slow: 129.83),"{""ema_fast"": 129.66549774213897, ""ema_slow"": 129.8325252019288, ""rsi"": 40.43102503247437}","{""open"": 123.5, ""high"": 126.27, ""low"": 122.77, ""close"": 125.91, ""volume"": 126142826.0}",{},,
SIG_20210615_163000_92,2021-06-15 16:30:00,AAPL,BUY,ENTRY,MARKET,100,129.64,,,"EMA crossover detected (Fast: 127.29 > Slow: 127.12), RSI: 57.47","{""ema_fast"": 127.28980612731077, ""ema_slow"": 127.11752295095953, ""rsi"": 57.47350656633029}","{""open"": 129.94, ""high"": 130.6, ""low"": 129.39, ""close"": 129.64, ""volume"": 62746332.0}",{},,
SIG_20210707_163000_93,2021-07-07 16:30:00,AAPL,SELL,EXIT,MARKET,100,144.57,,,RSI overbought: 81.31 > 80,"{""ema_fast"": 137.2287055012351, ""ema_slow"": 133.65989706012377, ""rsi"": 81.30720776607204}","{""open"": 143.535, ""high"": 144.89, ""low"": 142.66, ""close"": 144.57, ""volume"": 104911589.0}",{},,
SIG_20211020_163000_94,2021-10-20 16:30:00,AAPL,BUY,ENTRY,MARKET,100,149.26,,,"EMA crossover detected (Fast: 145.15 > Slow: 145.12), RSI: 61.06","{""ema_fast"": 145.15070560480183, ""ema_slow"": 145.121675080925, ""rsi"": 61.062289795760705}","{""open"": 148.7, ""high"": 149.7539, ""low"": 148.12, ""close"": 149.26, ""volume"": 58418788.0}",{},,
SIG_20220120_173000_95,2022-01-20 17:30:00,AAPL,SELL,EXIT,MARKET,100,164.51,,,EMA crossover detected (Fast: 171.35 < Slow: 171.76),"{""ema_fast"": 171.34873385930953, ""ema_slow"": 171.75922754061594, ""rsi"": 37.82099899068746}","{""open"": 166.98, ""high"": 169.68, ""low"": 164.18, ""close"": 164.51, ""volume"": 91420515.0}",{},,
SIG_20220203_173000_96,2022-02-03 17:30:00,AAPL,BUY,ENTRY,MARKET,100,172.9,,,"EMA crossover detected (Fast: 170.05 > Slow: 169.94), RSI: 54.72","{""ema_fast"": 170.05123131577787, ""ema_slow"": 169.9389713973967, ""rsi"": 54.72301664824748}","{""open"": 174.48, ""high"": 176.2399, ""low"": 172.12, ""close"": 172.9, ""volume"": 89418074.0}",{},,
SIG_20220218_173000_97,2022-02-18 17:30:00,AAPL,SELL,EXIT,MARKET,100,167.3,,,EMA crossover detected (Fast: 170.55 < Slow: 170.60),"{""ema_fast"": 170.54979811601874, ""ema_slow"": 170.6006678080011, ""rsi"": 44.462682510392774}","{""open"": 169.82, ""high"": 170.5413, ""low"": 166.19, ""close"": 167.3, ""volume"": 82772674.0}",{},,
SIG_20220324_163000_98,2022-03-24 16:30:00,AAPL,BUY,ENTRY,MARKET,100,174.07,,,"EMA crossover detected (Fast: 165.02 > Slow: 164.53), RSI: 62.70","{""ema_fast"": 165.02100274569221, ""ema_slow"": 164.53184950169887, ""rsi"": 62.701321447468196}","{""open"": 171.06, ""high"": 174.14, ""low"": 170.21, ""close"": 174.07, ""volume"": 90131418.0}",{},,
SIG_20220419_163000_99,2022-04-19 16:30:00,AAPL,SELL,EXIT,MARKET,100,167.4,,,EMA crossover detected (Fast: 168.91 < Slow: 168.96),"{""ema_fast"": 168.9070807900302, ""ema_slow"": 168.96410597923352, ""rsi"": 47.67580795513327}","{""open"": 165.02, ""high"": 167.82, ""low"": 163.91, ""close"": 167.4, ""volume"": 67723833.0}",{},,
